PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
417,0,0,1,M,,,4,3.9,1.5,-2.39,4.3,1.5,-2.81,3.8,3,-0.81,3.1,0,-3.11
914,0,0,0,H,,,5,6.4,3.6,-2.81,6.5,4,-2.5,6.5,4,-2.51,6.3,3,-3.26
907,1,1,0,,,,,,4,,,4,,,4,,,3,
522,0,1,0,M,4A,4B,4B,4.1,3.4,-0.79,4.6,5.5,0.94,4.1,3,-1.09,3.5,0.5,-2.98
939,0,1,0,H,,,4,5.1,5.6,0.46,5.4,5.5,0.13,5,7,1.96,4.7,3.7,-1.03
231,0,0,0,M,,,4,3.9,2.3,-1.62,4.3,2,-2.31,3.8,2,-1.81,3.1,0.7,-2.45
926,0,0,0,M,,,3B,2.9,2.4,-0.58,3.5,3,-0.46,2.9,2,-0.87,1.9,0.7,-1.24
722,0,1,0,M,4C,3B,4B,3.3,2.2,-1.11,3.8,3,-0.82,3.3,2,-1.3,2.4,0.3,-2.05
392,1,0,0,L,4B,4A,3C,2.9,3.7,0.77,3.5,4,0.54,2.9,4,1.13,1.9,0,-1.91
940,1,0,1,M,3A,4C,4C,3.1,3.2,0.06,3.6,3,-0.64,3.1,4,0.87,2.2,2.3,0.16
201,1,0,0,H,,,5,6.4,3.3,-3.16,6.5,3,-3.5,6.5,4,-2.51,6.3,1.5,-4.76
180,0,0,0,H,5C,4A,5C,5.5,4.8,-0.71,5.7,4,-1.73,5.5,4,-1.52,5.2,3.7,-1.55
752,1,1,0,M,4B,4C,5C,4.1,4.7,0.51,4.6,4,-0.56,4.1,7,2.91,3.5,3.2,-0.31
618,0,1,0,H,5C,4B,5C,5.5,5,-0.56,5.7,5.5,-0.23,5.5,5.5,-0.02,5.2,3.7,-1.55
832,1,0,0,L,,,B,1.5,1.5,-0.01,2,2,0.01,1.1,3,1.95,0.7,0,-0.68
866,0,0,1,M,3A,3B,4B,3.1,2,-1.14,3.6,3,-0.64,3.1,3,-0.13,2.2,0,-2.18
773,1,0,0,M,4B,3A,4B,3.7,3.1,-0.66,4.2,4,-0.16,3.7,3,-0.68,2.9,1.3,-1.58
625,1,0,0,L,4C,4B,3B,2.9,1.8,-1.13,3.5,3,-0.46,2.9,0,-2.87,1.9,0.3,-1.57
903,0,0,0,H,,,4,5.1,5.5,0.41,5.4,7,1.63,5,5.5,0.46,4.7,4,-0.7
112,1,0,1,L,B,B,B,1.5,0.7,-0.86,2,1,-0.99,1.1,0,-1.05,0.7,0,-0.68
673,0,0,0,H,,,5,6.4,3.6,-2.86,6.5,3,-3.5,6.5,4,-2.51,6.3,1.7,-4.59
236,0,0,0,M,5B,5C,4B,4.9,4,-0.98,5.3,4,-1.26,4.8,3,-1.85,4.5,2,-2.51
500,1,0,0,H,5C,4B,5B,5.8,5.3,-0.56,6,4,-1.97,5.9,7,1.13,5.6,3.2,-2.42
997,0,0,0,M,4B,4B,4B,3.9,4.2,0.28,4.3,5.5,1.19,3.8,4,0.19,3.1,2,-1.11
568,1,0,1,M,5C,4C,4C,3.7,2.4,-1.31,4.2,3,-1.16,3.7,3,-0.68,2.9,0,-2.91
653,1,1,0,,,,,,5.1,,,5.5,,,8.5,,,0,
83,0,0,1,M,4B,3A,4C,3.3,1.9,-1.41,3.8,2,-1.82,3.3,3,-0.3,2.4,0.7,-1.72
324,0,0,0,L,3C,3A,3B,2.2,0.8,-1.49,2.8,1.5,-1.32,2,0,-2.02,1.2,0,-1.16
356,0,0,0,M,5C,4C,4A,4.4,2.4,-2,4.8,1.5,-3.3,4.3,3,-1.3,3.8,1,-2.83
837,1,0,1,L,N,N,N,1.5,0.5,-1.03,2,1,-0.99,1.1,0,-1.05,0.7,0,-0.68
1037,0,0,0,M,4B,4C,3A,3.1,3.2,0.01,3.6,3,-0.64,3.1,3,-0.13,2.2,1,-1.18
144,0,0,0,M,4B,4C,4B,3.9,3.7,-0.17,4.3,4,-0.31,3.8,4,0.19,3.1,2,-1.11
765,0,0,0,M,5C,3A,5C,4.7,5,0.35,5,5.5,0.49,4.6,5.5,0.93,4.2,3.3,-0.82
892,1,0,0,L,4C,3A,3A,2.7,2.2,-0.46,3.2,3,-0.23,2.6,2,-0.58,1.6,0,-1.59
491,1,0,0,H,,,4,5.1,3.9,-1.24,5.4,5.5,0.13,5,3,-2.04,4.7,1.7,-3.03
555,0,0,1,M,4A,4C,4C,3.5,2.2,-1.36,4,2,-1.99,3.5,2,-1.49,2.6,0.7,-1.97
971,0,0,1,L,3C,3A,3A,2.7,2.6,-0.11,3.2,3,-0.23,2.6,3,0.42,1.6,0,-1.59
96,1,0,0,M,5C,4B,4B,4.4,4,-0.4,4.8,5.5,0.7,4.3,3,-1.3,3.8,2.7,-1.16
505,0,0,0,M,5C,4A,4B,4.4,3.1,-1.35,4.8,3,-1.8,4.3,4,-0.3,3.8,1,-2.83
33,0,0,1,H,5B,4A,5C,6.1,6.9,0.71,6.2,7,0.77,6.3,8.5,2.22,6,6,0.02
1014,0,0,0,M,5C,4A,4B,4.7,3.8,-0.85,5,3,-2.01,4.6,3,-1.57,4.2,3.7,-0.49
699,0,0,0,H,,,5,5.1,3.4,-1.69,5.4,4,-1.37,5,4,-1.04,4.7,0.5,-4.2
909,1,0,0,L,,,3,2.2,2.3,0.01,2.8,3,0.18,2,1,-1.02,1.2,1.8,0.67
1012,0,0,0,L,4C,3C,3A,2.6,4.6,1.95,3.1,5.5,2.43,2.2,4,1.77,1.9,3.3,1.45
546,1,0,0,M,4C,3A,4B,3.7,3.7,0.03,4,3,-1.03,3.5,3,-0.47,3.1,3.7,0.59
512,1,0,0,,,,,,5.2,,,5.5,,,5.5,,,4.5,
81,0,0,0,L,3C,3B,3B,2.3,5.2,2.85,2.8,7,4.19,2,4,2.05,1.6,3,1.36
429,0,0,0,M,4B,4C,5C,4.5,3.7,-0.82,4.8,0.8,-4.06,4.3,7,2.65,4.1,3.2,-0.91
400,1,0,0,M,4B,4C,4C,3.3,2.3,-1.07,3.7,2,-1.7,3.1,3,-0.1,2.7,1.2,-1.49
610,0,0,0,M,4B,4C,4B,4,3.1,-0.95,4.4,3,-1.37,3.9,4,0.12,3.5,2.3,-1.19
19,0,0,0,,,,,,2.2,,,2,,,3,,,0.7,
1008,0,1,0,M,5C,5C,4A,5,5.5,0.43,5.3,7,1.73,4.9,4,-0.89,4.7,3.3,-1.34
1003,0,0,1,M,4A,4C,4A,4.5,3.7,-0.82,4.8,5.5,0.69,4.3,3,-1.35,4.1,3.3,-0.74
17,0,0,0,M,4A,4B,5C,5,4.4,-0.62,5.3,5.5,0.23,4.9,4,-0.89,4.7,3.3,-1.34
779,0,0,1,M,4A,4B,4A,4.5,3.9,-0.67,4.8,5.5,0.69,4.3,3,-1.35,4.1,2.2,-1.91
449,0,1,0,L,3B,3C,3C,2.1,2.9,0.71,2.6,3,0.41,1.7,4,2.33,1.4,2.2,0.73
442,0,0,0,H,5A,5B,5B,6.8,7.2,0.3,6.8,8.5,1.65,7,7,-0.02,6.8,7,0.21
329,1,0,0,M,4B,5C,4C,4,2.9,-1.17,4.4,7,2.63,3.9,2,-1.88,3.5,1,-2.52
580,0,0,0,H,5C,5B,5C,5.9,5.8,-0.06,6,7,1.02,5.9,5.5,-0.4,5.7,5.5,-0.16
308,0,0,0,M,4A,4B,4A,4.5,4.5,-0.07,4.8,5.5,0.69,4.3,4,-0.35,4.1,4,-0.07
231,1,0,0,L,N,,3C,2.3,4.2,1.8,2.8,5.5,2.69,2,4,2.05,1.6,2,0.36
817,0,0,0,H,5B,5C,5C,6.2,3.8,-2.42,6.2,4,-2.22,6.3,3,-3.29,6,3.7,-2.34
435,0,0,0,L,N,3B,2,2,2.7,0.65,2.5,4,1.49,1.6,2,0.44,1.4,0.5,-0.86
444,0,1,0,M,5C,4B,4A,4.8,4.6,-0.22,5,5.5,0.45,4.6,4,-0.6,4.4,3.3,-1.04
401,0,0,0,L,3A,3C,3B,2.5,3.2,0.69,2.9,3,0.09,2.1,3,0.91,1.8,1.8,0.08
645,1,0,0,H,5C,4A,5B,5.9,3.9,-1.96,6,5.5,-0.48,5.9,4,-1.9,5.7,3,-2.66
947,1,0,0,H,5B,4A,5B,6.5,3.2,-3.31,6.5,4,-2.53,6.7,3,-3.67,6.4,2,-4.4
1034,0,0,0,H,5C,4B,5B,5.6,7.3,1.73,5.7,7,1.26,5.5,8.5,2.96,5.3,7,1.68
922,1,0,0,H,5B,5C,5C,5.6,4.5,-1.12,5.7,5.5,-0.24,5.5,4,-1.54,5.3,3,-2.32
643,0,0,1,M,4A,4C,4A,4.5,2.5,-2.02,4.8,4,-0.81,4.3,4,-0.35,4.1,1.8,-2.24
949,0,0,0,H,4B,4A,5B,5.6,3.7,-1.92,5.7,5.5,-0.24,5.5,4,-1.54,5.3,1.5,-3.82
339,1,0,1,M,4B,4B,5C,4.5,3.2,-1.37,4.8,4,-0.81,4.3,3,-1.35,4.1,0.7,-3.41
133,0,0,0,M,4C,3A,4A,3.9,3.8,-0.06,4.2,4,-0.19,3.7,4,0.32,3.3,2.3,-0.98
553,0,0,0,H,5C,4A,5B,5.9,4.8,-1.06,6,5.5,-0.48,5.9,4,-1.9,5.7,4.2,-1.49
638,1,0,0,M,4A,5C,4B,4.8,4.5,-0.32,5,4,-1.05,4.6,4,-0.6,4.4,5.2,0.79
956,0,0,1,M,3A,4C,4B,3.5,3,-0.49,3.9,3,-0.86,3.3,3,-0.28,2.9,1.7,-1.2
688,0,0,0,M,4C,4B,3A,3.2,3.7,0.53,3.6,4,0.43,2.9,4,1.08,2.5,1.5,-1
370,1,0,0,M,4A,4B,4A,4.8,0,-4.77,5,0,-5.05,4.6,0,-4.6,4.4,0,-4.37
782,1,0,1,M,4C,4C,4C,3.3,1,-2.32,3.7,2,-1.7,3.1,0,-3.1,2.7,1,-1.66
942,0,0,0,M,4C,4C,4C,3.3,3.1,-0.27,3.7,4,0.3,3.1,3,-0.1,2.7,1.8,-0.83
59,1,0,1,L,3A,N,3A,2.5,0.8,-1.66,2.9,2,-0.91,2.1,0,-2.09,1.8,0.3,-1.42
834,0,0,0,M,4A,4C,3B,3.2,2.7,-0.52,3.6,3,-0.57,2.9,3,0.08,2.5,1.2,-1.34
263,1,0,1,M,4C,3C,4A,3.3,2.7,-0.62,3.7,3,-0.7,3.1,4,0.9,2.7,1.3,-1.33
369,0,0,0,M,4A,4B,4C,4,3.8,-0.25,4.4,5.5,1.13,3.9,3,-0.88,3.5,2,-1.52
886,1,0,1,M,3A,3B,4B,3.5,5.2,1.66,3.9,7,3.14,3.3,5.5,2.22,2.9,3.3,0.47
999,0,0,0,M,4A,4C,4A,4.3,4.3,-0.04,4.6,5.5,0.91,4.1,4,-0.11,3.8,3.7,-0.14
816,0,0,0,M,3A,3A,4A,3.9,4.2,0.34,4.2,3,-1.19,3.7,7,3.32,3.3,4,0.69
486,0,0,0,H,5C,4B,5B,5.9,3.5,-2.41,6,3,-2.98,5.9,4,-1.9,5.7,2.5,-3.16
517,0,0,0,H,5B,4B,5B,6.2,3.4,-2.77,6.2,4,-2.22,6.3,5.5,-0.79,6,2.7,-3.34
718,1,1,0,,,,,,6.1,,,7,,,5.5,,,6.5,
207,0,0,0,M,5C,4B,5C,5.3,4.3,-1.02,5.5,5.5,0.03,5.2,4,-1.2,5,2.8,-2.12
432,1,0,1,M,4C,4B,4C,3.5,0.5,-2.99,3.9,2,-1.86,3.3,0,-3.28,2.9,0,-2.86
251,1,0,0,M,4B,4B,4A,4.5,5.5,0.98,4.8,4,-0.81,4.3,5.5,1.15,4.1,4.5,0.43
598,0,0,0,M,4B,3A,4B,3.9,3.8,-0.11,4.2,5.5,1.31,3.7,4,0.32,3.3,1.7,-1.64
145,0,0,1,L,4C,3B,4C,3.2,1.8,-1.37,3.6,3,-0.57,2.9,0,-2.92,2.5,0.7,-1.84
704,0,0,0,M,4B,4C,4B,4,4.4,0.35,4.4,5.5,1.13,3.9,3,-0.88,3.5,4,0.48
964,0,0,0,H,4A,4A,5B,5.6,4.7,-0.87,5.7,5.5,-0.24,5.5,4,-1.54,5.3,3.3,-1.99
424,0,0,0,L,3A,3A,4C,3.2,2.7,-0.47,3.6,3,-0.57,2.9,4,1.08,2.5,2,-0.5
683,1,0,1,L,B,B,4C,2.3,1.2,-1.05,2.7,3,0.25,1.8,0,-1.83,1.6,0.3,-1.24
125,1,0,1,M,4B,4C,4B,3.7,2.9,-0.82,4,4,-0.03,3.5,3,-0.47,3.1,1.5,-1.58
881,1,0,1,M,4A,4B,5C,5.3,4.5,-0.77,5.5,4,-1.47,5.2,5.5,0.3,5,4.5,-0.46
6,0,0,0,M,5C,3A,4C,4,4.7,0.6,4.4,5.5,1.13,3.9,4,0.12,3.5,4.5,0.98
63,0,1,0,L,4C,3C,N,2,1.6,-0.5,2.5,2,-0.51,1.6,0,-1.56,1.4,1.2,-0.19
681,0,0,0,M,4A,3C,4B,3.5,4.1,0.56,3.9,7,3.14,3.3,3,-0.28,2.9,1.8,-1.03
772,0,0,0,H,5C,4A,5B,6.2,6,-0.22,6.2,7,0.78,6.3,5.5,-0.79,6,5.5,-0.51
871,0,0,1,L,B,B,B,1.7,1.6,-0.06,2.1,3,0.92,1.1,0,-1.1,1.1,0.7,-0.39
805,0,0,0,M,4C,4B,4B,3.9,4,0.14,4.2,4,-0.19,3.7,3,-0.68,3.3,4,0.69
306,0,0,0,M,4A,4C,5C,5,4.5,-0.57,5.3,4,-1.27,4.9,5.5,0.61,4.7,4,-0.68
457,0,0,0,M,4C,4C,4B,3.9,4.2,0.29,4.2,4,-0.19,3.7,4,0.32,3.3,4,0.69
407,0,0,1,L,3C,4C,3A,2.7,3.8,1.02,3.2,4,0.81,2.4,3,0.63,2,2.3,0.33
567,0,0,0,M,4A,4B,4B,4,3.8,-0.25,4.4,4,-0.37,3.9,4,0.12,3.5,2.8,-0.69
575,1,0,0,M,4A,3A,4A,4.5,2,-2.57,4.8,1.5,-3.31,4.3,3,-1.35,4.1,1.3,-2.74
527,1,0,0,H,5C,5C,5C,5.6,7,1.43,5.7,8.5,2.76,5.5,7,1.46,5.3,6.5,1.18
401,0,0,1,H,5B,4C,5C,5.3,3.8,-1.52,5.5,4,-1.47,5.2,4,-1.2,5,2.7,-2.29
859,1,0,0,H,5C,4B,5A,6.2,4.2,-1.97,6.2,5.5,-0.72,6.3,4,-2.29,6,2.7,-3.34
747,1,0,0,,,,,,5.7,,,5.5,,,5.5,,,4.5,
855,0,0,0,M,4C,4B,4C,3.7,3.1,-0.57,4,4,-0.03,3.5,3,-0.47,3.1,2.7,-0.41
3,1,0,0,M,4A,3A,4A,4.3,2.7,-1.64,4.6,2,-2.59,4.1,3,-1.11,3.8,1.7,-2.14
924,1,0,0,M,4B,3A,4B,3.9,2.5,-1.41,4.2,3,-1.19,3.7,3,-0.68,3.3,1.2,-2.14
195,0,0,0,,,,,,5.8,,,5.5,,,5.5,,,6,
918,0,0,0,M,5C,4C,4A,4.5,5.1,0.58,4.8,5.5,0.69,4.3,5.5,1.15,4.1,4.2,0.09
26,0,0,1,L,4C,3A,3C,2.6,2.6,-0.02,3.1,5.5,2.43,2.2,2,-0.23,1.9,1.5,-0.39
749,1,1,0,M,4B,4C,3A,3.5,3.3,-0.24,3.9,4,0.14,3.3,3,-0.28,2.9,2,-0.86
193,0,0,0,H,4A,4A,5A,6.2,3.7,-2.47,6.2,5.5,-0.72,6.3,4,-2.29,6,2,-4.01
280,0,0,0,L,3A,4B,3B,3,3.1,0.01,3.5,3,-0.46,2.7,3,0.25,2.3,1.7,-0.68
397,0,0,0,M,5C,4C,4A,5,5.8,0.78,5.3,7,1.73,4.9,4,-0.89,4.7,5,0.32
550,0,0,0,H,5C,4A,5A,6.2,5.4,-0.82,6.2,4,-2.22,6.3,7,0.71,6,5,-1.01
507,0,0,0,M,5B,4B,4C,4.5,4.1,-0.42,4.8,4,-0.81,4.3,4,-0.35,4.1,2.8,-1.24
705,1,0,1,M,5C,4C,4A,4.8,2.8,-2.02,5,3,-2.05,4.6,3,-1.6,4.4,2.5,-1.87
954,0,0,1,M,4B,3A,5C,4.3,5.7,1.36,4.6,4,-0.59,4.1,8.5,4.39,3.8,6.5,2.69
342,0,1,0,M,4C,4C,4B,3.7,5.5,1.83,4,5.5,1.47,3.5,7,3.53,3.1,4.5,1.42
372,1,0,0,H,5C,4A,5C,5.6,6.3,0.68,5.7,5.5,-0.24,5.5,5.5,-0.04,5.3,7,1.68
618,0,1,0,M,4B,4B,5C,5,7.5,2.43,5.3,5.5,0.23,4.9,8.5,3.61,4.7,8.5,3.82
357,0,0,0,L,3B,3C,3C,2.1,1.5,-0.69,2.6,3,0.41,1.7,0,-1.67,1.4,0.3,-1.11
832,1,0,0,L,N,3A,4C,2.9,2.4,-0.51,3.3,3,-0.3,2.6,3,0.44,2.2,0.5,-1.66
857,0,0,0,M,5C,4C,5C,5,5.4,0.33,5.3,5.5,0.23,4.9,5.5,0.61,4.7,6,1.32
712,0,0,0,M,4C,4B,3A,3.3,5.7,2.33,3.7,5.5,1.8,3.1,4,0.9,2.7,7,4.34
219,0,0,0,M,4B,4C,5B,5,3.9,-1.17,5.3,5.5,0.23,4.9,4,-0.89,4.7,1.8,-2.84
424,1,0,1,L,N,3B,N,1.7,0.6,-1.04,2.1,1.5,-0.58,1.1,0,-1.1,1.1,0,-1.06
644,0,0,1,L,3A,3B,4C,3.2,2.3,-0.87,3.6,3,-0.57,2.9,3,0.08,2.5,1,-1.5
795,0,1,0,,,,,,6.4,,,5.5,,,8.5,,,5.5,
520,0,0,0,M,4B,4B,4B,4,2.6,-1.45,4.4,4,-0.37,3.9,3,-0.88,3.5,1.5,-2.02
535,1,0,0,M,5B,4C,4B,4.5,4.6,0.03,4.8,5.5,0.69,4.3,4,-0.35,4.1,3.3,-0.74
492,1,0,0,M,4C,3B,4C,3.2,3.9,0.73,3.6,5.5,1.93,2.9,3,0.08,2.5,2.3,-0.17
300,1,0,0,M,5B,4B,4C,4.3,4.6,0.26,4.6,7,2.41,4.1,4,-0.11,3.8,3.3,-0.48
828,1,0,1,M,4A,3B,4B,3.7,2.5,-1.17,4,2,-2.03,3.5,3,-0.47,3.1,2.2,-0.91
100,0,0,0,M,4B,4B,4B,4.3,3.5,-0.84,4.6,5.5,0.91,4.1,3,-1.11,3.8,1.7,-2.14
315,0,0,0,M,5C,5C,4A,5.3,6.4,1.13,5.5,5.5,0.03,5.2,5.5,0.3,5,7,2.04
44,0,0,0,M,4B,4B,4C,3.7,4,0.28,4,4,-0.03,3.5,4,0.53,3.1,2.3,-0.75
351,0,0,0,M,4A,4C,4B,4,2.7,-1.35,4.4,4,-0.37,3.9,3,-0.88,3.5,2,-1.52
469,0,1,0,M,4A,4C,4A,4.5,6.7,2.18,4.8,7,2.19,4.3,7,2.65,4.1,7,2.93
791,0,0,0,H,5B,5B,5A,7.6,7.2,-0.44,7.5,7,-0.54,7.8,8.5,0.75,7.6,7.5,-0.09
1036,0,0,0,M,5C,4B,4B,4.3,1.7,-2.59,4.6,3,-1.59,4.1,3,-1.11,3.8,0.3,-3.48
250,0,0,0,M,4A,4A,4B,4.3,2.2,-2.14,4.6,3,-1.59,4.1,2,-2.11,3.8,1.2,-2.64
266,0,0,1,L,N,3A,4C,3,1,-2.09,3.5,2,-1.46,2.7,0,-2.75,2.3,0.5,-1.85
990,1,0,1,L,,,2,1.7,0.4,-1.29,2.1,1,-1.08,1.1,0,-1.1,1.1,0,-1.06
12,1,0,0,M,4A,4B,4A,4.8,2.4,-2.37,5,3,-2.05,4.6,3,-1.6,4.4,1.3,-3.04
22,0,0,0,M,5C,4C,4A,4.8,5.5,0.73,5,5.5,0.45,4.6,5.5,0.9,4.4,5.5,1.13
174,0,0,0,M,4A,4A,5C,5,2.5,-2.52,5.3,3,-2.27,4.9,3,-1.89,4.7,1.7,-3.01
723,0,0,1,M,4A,3A,4A,4.5,3.6,-0.92,4.8,4,-0.81,4.3,3,-1.35,4.1,2.3,-1.74
387,0,0,0,H,5B,5C,5B,6.5,6.3,-0.26,6.5,5.5,-1.03,6.7,7,0.33,6.4,6,-0.4
111,1,0,0,M,4A,4C,4B,4,3.6,-0.45,4.4,4,-0.37,3.9,3,-0.88,3.5,2.7,-0.85
165,1,0,0,M,4C,3B,4A,3.9,2.8,-1.04,4.2,3,-1.19,3.7,5.5,1.82,3.3,1.5,-1.81
585,0,1,0,M,4C,4B,4C,3.5,5.7,2.16,3.9,5.5,1.64,3.3,5.5,2.22,2.9,5,2.14
79,1,0,1,M,4A,4C,4C,3.9,0,-3.86,4.2,0,-4.19,3.7,0,-3.68,3.3,0,-3.31
451,0,0,0,M,4A,4C,3A,3.5,3.3,-0.24,3.9,4,0.14,3.3,3,-0.28,2.9,1.7,-1.2
774,1,0,0,L,5C,3B,3C,3,0.4,-2.64,3.5,1.5,-1.96,2.7,0,-2.75,2.3,0,-2.35
88,0,0,0,L,3C,3B,N,2,2,0.03,2.4,3,0.59,1.5,1,-0.47,1.3,1.2,-0.16
11,0,0,1,M,4C,3B,4A,3.7,2.9,-0.77,4,4,-0.03,3.5,4,0.53,3.1,1.3,-1.75
390,0,0,0,M,5C,4B,4C,4,3,-1.1,4.4,7,2.63,3.9,0,-3.88,3.5,1.5,-2.02
270,0,1,0,,,,,,2.6,,,3,,,3,,,0.7,
945,0,1,0,L,4C,4C,3A,3.2,2.8,-0.37,3.6,3,-0.57,2.9,2,-0.92,2.5,2.7,0.16
194,1,0,0,M,4C,4C,4C,3.5,3.6,0.06,3.9,4,0.14,3.3,3,-0.28,2.9,2.7,-0.2
170,0,0,1,L,3B,3C,4C,2.9,1.5,-1.36,3.3,3,-0.3,2.6,2,-0.56,2.2,1,-1.16
377,0,0,0,M,4B,4B,4A,4.3,3.1,-1.19,4.6,5.5,0.91,4.1,3,-1.11,3.8,1,-2.81
463,0,0,1,H,5B,5C,5C,5.6,3.7,-1.87,5.7,5.5,-0.24,5.5,4,-1.54,5.3,1.5,-3.82
576,0,0,1,M,5C,4C,4C,3.9,5,1.14,4.2,5.5,1.31,3.7,3,-0.68,3.3,5,1.69
765,1,0,1,M,4C,4B,4B,3.7,2.7,-0.97,4,4,-0.03,3.5,2,-1.47,3.1,1.7,-1.41
95,1,0,0,M,4C,3A,4B,3.7,2.7,-1.02,4,3,-1.03,3.5,2,-1.47,3.1,1.3,-1.75
448,0,0,0,M,4A,4C,5C,4.8,3.4,-1.37,5,4,-1.05,4.6,4,-0.6,4.4,2.3,-2.04
949,0,0,0,M,4A,4B,4A,4.5,7.3,2.78,4.8,5.5,0.69,4.3,8.5,4.15,4.1,8,3.93
403,0,1,0,L,N,3C,3C,1.9,2.4,0.45,2.4,2,-0.36,1.4,2,0.64,1.2,3,1.79
825,0,1,0,H,5C,5C,5C,5.9,7.2,1.29,6,7,1.02,5.9,7,1.1,5.7,8,2.34
264,0,0,1,L,4C,4C,3B,2.9,4.6,1.69,3.3,7,3.7,2.6,4,1.44,2.2,2.3,0.17
946,0,0,0,M,4A,4C,4A,4.5,2.1,-2.47,4.8,1.5,-3.31,4.3,3,-1.35,4.1,1.7,-2.41
930,0,1,0,,,,,,5.1,,,4,,,5.5,,,5.5,
505,0,0,1,H,5C,4B,5B,6.2,6.3,0.08,6.2,5.5,-0.72,6.3,8.5,2.21,6,6,-0.01
278,1,0,1,,,,,,3,,,4,,,3,,,1.5,
175,0,0,0,M,5C,5C,4B,5,5.3,0.28,5.3,7,1.73,4.9,3,-1.89,4.7,4,-0.68
956,0,0,1,M,4A,4B,4A,4.5,4.3,-0.27,4.8,4,-0.81,4.3,4,-0.35,4.1,3.3,-0.74
273,0,0,0,H,5C,4B,5C,5.3,4.8,-0.52,5.5,4,-1.47,5.2,4,-1.2,5,5.5,0.54
289,1,0,1,M,4A,4C,4A,4.5,0,-4.52,4.8,0,-4.81,4.3,0,-4.35,4.1,0,-4.07
107,0,0,0,H,5A,5C,5B,6.5,7.9,1.39,6.5,7,0.47,6.7,8.5,1.83,6.4,7.5,1.1
218,0,0,1,H,5B,4B,5C,5.6,4.1,-1.52,5.7,4,-1.74,5.5,5.5,-0.04,5.3,3,-2.32
714,0,0,0,L,3B,4C,3B,2.7,4,1.22,3.2,5.5,2.31,2.4,3,0.63,2,3,0.99
437,0,1,0,M,4C,4B,4C,3.7,3.4,-0.32,4,4,-0.03,3.5,3,-0.47,3.1,1.3,-1.75
126,1,0,1,M,4B,4C,4A,4.3,3.4,-0.94,4.6,4,-0.59,4.1,4,-0.11,3.8,1.7,-2.14
894,0,0,0,M,4A,4C,4B,4,4.7,0.6,4.4,5.5,1.13,3.9,4,0.12,3.5,3.7,0.15
228,0,0,0,M,5C,4C,5C,4.8,3.3,-1.44,5,5.5,0.45,4.6,4,-0.6,4.4,2.5,-1.87
84,0,0,0,H,5B,4C,5B,5.9,5.1,-0.81,6,7,1.02,5.9,5.5,-0.4,5.7,4,-1.66
484,0,0,0,M,5C,4B,4C,3.9,4.9,0.99,4.2,7,2.81,3.7,4,0.32,3.3,3.3,0.02
286,0,0,0,M,5B,4B,4A,5.3,5.2,-0.07,5.5,7,1.53,5.2,4,-1.2,5,4,-0.96
49,1,0,1,,,,,,1.3,,,1.5,,,2,,,1,
161,0,0,0,M,4A,4B,5C,5,4,-1.07,5.3,5.5,0.23,4.9,4,-0.89,4.7,2.7,-2.01
166,1,0,1,M,3A,3B,4B,3.3,1,-2.37,3.7,1.5,-2.2,3.1,1.5,-1.6,2.7,0.3,-2.33
595,1,0,1,,,,,,3,,,4,,,3,,,1.5,
1015,1,0,0,M,4A,4B,4A,4.8,3.2,-1.62,5,4,-1.05,4.6,3,-1.6,4.4,2.2,-2.21
967,0,1,0,M,4C,3A,4C,3.3,3,-0.37,3.7,3,-0.7,3.1,3,-0.1,2.7,2.5,-0.16
143,1,0,0,L,4C,3A,3C,2.5,0.6,-1.86,2.9,0.8,-2.16,2.1,1,-1.09,1.8,0.8,-0.92
321,0,0,0,H,5C,4B,5C,5.6,3.6,-1.97,5.7,4,-1.74,5.5,4,-1.54,5.3,3.3,-1.99
369,0,0,1,M,5C,4C,4A,4.5,4.4,-0.17,4.8,5.5,0.69,4.3,4,-0.35,4.1,2.7,-1.41
73,1,0,1,L,4C,3A,3A,3,2.9,-0.19,3.5,3,-0.46,2.7,2,-0.75,2.3,1.5,-0.85
975,1,1,0,M,4A,4B,4C,3.9,4.8,0.94,4.2,5.5,1.31,3.7,4,0.32,3.3,4.2,0.86
1016,0,0,0,M,4A,4A,4A,4.5,3.1,-1.42,4.8,4,-0.81,4.3,3,-1.35,4.1,1.8,-2.24
315,0,0,0,,,,,,4.9,,,7,,,4,,,3,
730,1,1,1,H,5C,5C,5B,6.2,5.1,-1.07,6.2,4,-2.22,6.3,5.5,-0.79,6,4.2,-1.84
1029,1,0,0,M,4C,4A,4C,3.9,4.3,0.44,4.2,5.5,1.31,3.7,4,0.32,3.3,3.7,0.36
423,1,0,0,H,5C,5C,5A,6.8,4.1,-2.8,6.8,5.5,-1.35,7,4,-3.02,6.8,2.7,-4.12
41,0,0,0,L,3A,3A,3A,2.9,2.8,-0.11,3.3,3,-0.3,2.6,3,0.44,2.2,1.5,-0.66
514,1,0,0,M,4A,4A,4A,4.8,5,0.23,5,7,1.95,4.6,4,-0.6,4.4,3.8,-0.54
876,0,0,1,L,4C,3C,2,2.1,1.5,-0.64,2.6,3,0.41,1.7,1,-0.67,1.4,1,-0.44
402,0,0,1,M,4C,4C,4A,4.3,3.4,-0.94,4.6,4,-0.59,4.1,4,-0.11,3.8,2.2,-1.64
