PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
881,0,0,0,M,4A,3A,4B,3.5,2.6,-0.91,4,3,-0.99,3.5,3,-0.49,2.6,0.7,-1.97
599,1,0,0,M,5C,4A,4B,4.7,3.5,-1.15,5,4,-1.01,4.6,4,-0.57,4.2,1.3,-2.82
270,1,0,0,L,4C,3A,N,2,2.1,0.03,2.6,1,-1.61,1.8,2,0.24,1,1,0.03
716,1,0,0,M,,,3B,2.9,1.5,-1.48,3.5,0,-3.46,2.9,2,-0.87,1.9,0.3,-1.57
56,1,0,0,L,3B,3C,4B,2.8,2.5,-0.31,3.4,2,-1.37,2.8,3,0.24,1.8,0.5,-1.26
745,1,0,0,H,,,5,5.1,4,-1.14,5.4,3,-2.37,5,4,-1.04,4.7,3,-1.7
914,0,0,0,M,4B,3A,4C,3.3,2.8,-0.51,3.8,3,-0.82,3.3,4,0.7,2.4,0.7,-1.72
854,0,0,0,M,4C,4C,4B,3.7,2.2,-1.51,4.2,3,-1.16,3.7,2,-1.68,2.9,1,-1.91
237,0,0,1,L,4B,3A,3B,2.7,2.5,-0.21,3.2,2,-1.23,2.6,3,0.42,1.6,1,-0.59
191,0,0,0,M,5C,4A,3B,3.5,3.2,-0.31,4,5.5,1.51,3.5,3,-0.49,2.6,1,-1.64
457,0,0,0,M,5C,4B,3B,3.1,2.8,-0.39,3.6,3,-0.64,3.1,3,-0.13,2.2,0.7,-1.51
377,0,0,0,M,5C,4A,3A,3.7,3.3,-0.46,4.2,4,-0.16,3.7,3,-0.68,2.9,0.7,-2.25
897,0,0,0,H,5C,4A,5C,5.1,4.2,-0.94,5.4,5.5,0.13,5,4,-1.04,4.7,2,-2.7
698,1,0,0,M,4A,4C,4B,4.1,2.9,-1.24,4.6,3,-1.56,4.1,4,-0.09,3.5,1.3,-2.15
854,1,1,0,H,5B,5A,5A,7.3,5.7,-1.62,7.2,7,-0.21,7.5,5.5,-2.01,7.3,6,-1.27
80,0,0,0,M,4B,4C,3A,3.1,3.9,0.71,3.6,5.5,1.86,3.1,3,-0.13,2.2,0.7,-1.51
616,0,0,0,M,4B,4B,4A,4.1,3.7,-0.44,4.6,3,-1.56,4.1,4,-0.09,3.5,2.7,-0.81
568,0,0,0,M,5B,5C,4B,4.9,4.6,-0.33,5.3,5.5,0.24,4.8,4,-0.85,4.5,3,-1.51
87,0,0,0,H,,,5,5.1,3.7,-1.44,5.4,4,-1.37,5,4,-1.04,4.7,2.3,-2.37
39,0,0,0,H,4A,4B,5B,5.5,1,-4.51,5.7,0,-5.73,5.5,3,-2.52,5.2,0.3,-4.88
224,1,0,0,L,3A,4A,3C,2.5,1.5,-1.02,3.1,2,-1.11,2.4,0,-2.4,1.4,0.5,-0.95
671,1,0,0,M,,,3B,2.9,1.4,-1.53,3.5,2,-1.46,2.9,0,-2.87,1.9,0.7,-1.24
231,0,0,0,H,5C,4A,5C,6.1,6.1,-0.04,6.2,7,0.77,6.3,7,0.72,6,5,-0.98
350,0,0,0,M,4A,3A,4C,3.5,1.9,-1.61,4,4,0.01,3.5,0,-3.49,2.6,0.7,-1.97
200,0,0,0,H,5B,4A,5C,5.8,4.4,-1.41,6,4,-1.97,5.9,5.5,-0.37,5.6,2.3,-3.25
430,1,0,0,M,,,4,3.9,6.7,2.83,4.3,5.5,1.19,3.8,8.5,4.69,3.1,6.5,3.39
157,0,0,0,M,4B,4B,4B,3.9,4,0.16,4.3,5.5,1.19,3.8,4,0.19,3.1,1.3,-1.78
266,0,0,1,L,,,3,2.2,2.7,0.46,2.8,3,0.18,2,3,0.98,1.2,1,-0.16
